function	file	line	source
calculate_presented_desktop_geometry	working/b4a/ps2vnc_calibration_core.inc	1098	int calculate_presented_desktop_geometry(
calculate_presented_desktop_geometry	working/b4a/ps2vnc_calibration_core.inc	1268	if (calculate_presented_desktop_geometry(
calculate_presented_desktop_geometry	working/b4a/ps2vnc_calibration_tail.inc	766	int calculate_presented_desktop_geometry(
calculate_presented_desktop_geometry	working/b4a/ps2vnc_calibration_tail.inc	1064	if (calculate_presented_desktop_geometry(
calculate_presented_desktop_geometry	working/b4a/ps2vnc_display_tail.inc	80	if (calculate_presented_desktop_geometry(
calculate_presented_desktop_geometry	working/b4a/ps2vnc_display_tail.inc	806	calculate_presented_desktop_geometry(
calculate_presented_desktop_geometry	working/b4a/ps2vnc_services_exports.h	13	int calculate_presented_desktop_geometry( unsigned int *out_x, unsigned int *out_y, unsigned int *out_w, unsigned int *out_h);
calculate_safe_desktop_geometry	working/b4a/ps2vnc_calibration_tail.inc	705	static int calculate_safe_desktop_geometry(
calculate_safe_desktop_geometry	working/b4a/ps2vnc_calibration_tail.inc	779	if (calculate_safe_desktop_geometry(
controller_thread	working/b4a/ps2vnc_framebuffer_core.inc	25	thread.func = (void *)controller_thread;
controller_thread	working/b4a/ps2vnc_ui_display_to_runtime.h	11	extern void controller_thread (void *arg);
controller_thread	working/b4a/ps2vnc_ui_tail.inc	1	void controller_thread(void *arg)
debug_emit_geometry_snapshot	working/b4a/ps2vnc_calibration_core.inc	1489	void debug_emit_geometry_snapshot(void)
debug_emit_geometry_snapshot	working/b4a/ps2vnc_calibration_tail.inc	928	debug_emit_geometry_snapshot();
debug_emit_geometry_snapshot	working/b4a/ps2vnc_calibration_tail.inc	1003	debug_emit_geometry_snapshot();
debug_emit_geometry_snapshot	working/b4a/ps2vnc_display_core.inc	102	debug_emit_geometry_snapshot();
debug_emit_geometry_snapshot	working/b4a/ps2vnc_display_tail.inc	126	debug_emit_geometry_snapshot();
debug_emit_geometry_snapshot	working/b4a/ps2vnc_services_exports.h	14	void debug_emit_geometry_snapshot(void);
display_confirm_arm_transaction	working/b4a/ps2vnc_display_tail.inc	691	display_confirm_arm_transaction(
display_confirm_arm_transaction	working/b4a/ps2vnc_runtime_tail.inc	197	void display_confirm_arm_transaction(
display_confirm_arm_transaction	working/b4a/ps2vnc_runtime_to_ui_display.h	440	extern void display_confirm_arm_transaction (const ps2vnc_video_mode_t *previous_mode, unsigned int previous_x, unsigned int previous_y, unsigned int previous_w, unsigned int previous_h, int previous_screen_fit_width, int previous_screen_fit_height, int previous_screen_fit_offset_x, int previous_screen_fit_offset_y, int previous_screen_fit_full_bypass);
display_confirm_disarm_transaction	working/b4a/ps2vnc_display_core.inc	539	display_confirm_disarm_transaction();
display_confirm_disarm_transaction	working/b4a/ps2vnc_display_tail.inc	458	display_confirm_disarm_transaction();
display_confirm_disarm_transaction	working/b4a/ps2vnc_runtime_tail.inc	240	void display_confirm_disarm_transaction(void)
display_confirm_disarm_transaction	working/b4a/ps2vnc_runtime_to_ui_display.h	442	extern void display_confirm_disarm_transaction (void);
display_live_desktop	working/b4a/ps2vnc_calibration_tail.inc	1266	* silently changing every existing display_live_desktop() return path.
display_live_desktop	working/b4a/ps2vnc_display_tail.inc	1	static int display_live_desktop(int sock,
display_live_desktop	working/b4a/ps2vnc_display_tail.inc	1662	int live_result = display_live_desktop(
display_menu_render_bitmap	working/b4a/ps2vnc_display_tail.inc	969	display_menu_render_bitmap();
display_menu_render_bitmap	working/b4a/ps2vnc_ui_core.inc	406	void display_menu_render_bitmap(void)
display_menu_render_bitmap	working/b4a/ps2vnc_ui_to_display.h	14	extern void display_menu_render_bitmap (void);
draw_screen_fit_calibration	working/b4a/ps2vnc_calibration_tail.inc	209	static int draw_screen_fit_calibration(
draw_screen_fit_calibration	working/b4a/ps2vnc_calibration_tail.inc	487	if (draw_screen_fit_calibration(
hextile_fill_rect	working/b4a/ps2vnc_framebuffer_core.inc	108	static void hextile_fill_rect(
hextile_fill_rect	working/b4a/ps2vnc_framebuffer_core.inc	228	hextile_fill_rect(
hextile_fill_rect	working/b4a/ps2vnc_framebuffer_core.inc	286	hextile_fill_rect(
hextile_recv_raw_tile	working/b4a/ps2vnc_framebuffer_core.inc	146	static int hextile_recv_raw_tile(
hextile_recv_raw_tile	working/b4a/ps2vnc_framebuffer_core.inc	265	if (hextile_recv_raw_tile(
main	working/b4a/ps2vnc_calibration_tail.inc	800	* Temporarily transfer libpad ownership to the main/render thread.
main	working/b4a/ps2vnc_calibration_tail.inc	1120	* Keep exclusive main-thread pad ownership through physical release,
main	working/b4a/ps2vnc_display_core.inc	176	* The controller thread never touches the VNC socket here. The main
main	working/b4a/ps2vnc_display_core.inc	560	* main thread to POST ACK successfully.
main	working/b4a/ps2vnc_display_tail.inc	198	* Remote control is serviced at complete main-loop boundaries and
main	working/b4a/ps2vnc_display_tail.inc	244	* Controller X publishes only an acknowledgement request.  The main
main	working/b4a/ps2vnc_display_tail.inc	282	* Same-mode calibration is a main-thread transaction.  Consume it at
main	working/b4a/ps2vnc_display_tail.inc	290	* Display admission/UI policy uses the same main-thread management
main	working/b4a/ps2vnc_display_tail.inc	421	* H3C2B1: a provisional display owns this main-loop transaction until
main	working/b4a/ps2vnc_display_tail.inc	507	* Consume local controller requests on the main RFB/render thread.
main	working/b4a/ps2vnc_display_tail.inc	742	* the existing graceful main-thread rollback machinery.
main	working/b4a/ps2vnc_display_tail.inc	1134	* Queued controller traffic is flushed before this main-thread request.
main	working/b4a/ps2vnc_display_tail.inc	1451	int main(int argc, char *argv[])
main	working/b4a/ps2vnc_macro_region2.inc	1	/* M3E main-TU hierarchy: framebuffer engine. */
main	working/b4a/ps2vnc_macro_region3.inc	1	/* M3E main-TU hierarchy: display orchestration. */
main	working/b4a/ps2vnc_management_core.inc	112	* VNC server. The Ethernet link itself is already waited on by main().
main	working/b4a/ps2vnc_management_tail.inc	578	* Like configuration GET, this connection is owned only by the main
main	working/b4a/ps2vnc_management_tail.inc	587	* able to stall the main RFB/render thread indefinitely.
main	working/b4a/ps2vnc_runtime_core.inc	444	* Test26 rule: after the controller thread starts, ONLY the main/render
main	working/b4a/ps2vnc_runtime_core.inc	448	* here.  The main thread drains the queue while polling the server socket.
main	working/b4a/ps2vnc_runtime_core.inc	604	* controller thread to the main/render thread.
main	working/b4a/ps2vnc_runtime_core.inc	606	* requested is written by the main thread. ack is written only by the
main	working/b4a/ps2vnc_runtime_core.inc	653	* There is NO debug/watchdog EE thread in this build.  The main/render
main	working/b4a/ps2vnc_runtime_core.inc	697	* owned exclusively by the main/RFB thread through debug_emit_now().
main	working/b4a/ps2vnc_runtime_core.inc	745	* The controller publishes only a semantic request.  The main RFB/render
main	working/b4a/ps2vnc_runtime_core.inc	749	* Display-mode requests cross from the controller thread to the main
main	working/b4a/ps2vnc_runtime_core.inc	901	* Controller -> main-thread semantic policy request.
main	working/b4a/ps2vnc_runtime_core.inc	936	* True only while the main/render thread is inside the synchronous candidate
main	working/b4a/ps2vnc_runtime_core.inc	939	* confirmation timeout from a main-thread transition stall.
main	working/b4a/ps2vnc_runtime_core.inc	973	* RESTORED, this acknowledgement owns local UI until the main thread sends
main	working/b4a/ps2vnc_runtime_core.inc	1403	* After the controller starts, the main thread polls recv(MSG_DONTWAIT).
main	working/b4a/ps2vnc_runtime_core.inc	1508	* the same main thread can continue draining controller events while
main	working/b4a/ps2vnc_runtime_tail.inc	105	* between controller publication and main-thread transaction ownership.
main	working/b4a/ps2vnc_services_compat.h	135	/* Exact main-TU enum definitions required by detached services. */
main	working/b4a/ps2vnc_services_exports.h	4	/* Symbols owned by the services TU and consumed by the main TU. */
main	working/b4a/ps2vnc_services_imports.h	4	/* Symbols owned by the main/runtime TU and consumed by services. */
main	working/b4a/ps2vnc_ui_core.inc	314	* Until the main thread completes that GET, switching into inactive
main	working/b4a/ps2vnc_ui_core.inc	701	* Request status owns the footer while a main-thread management
main	working/b4a/ps2vnc_ui_tail.inc	82	* calls and therefore the main thread may temporarily own libpad.
main	working/b4a/ps2vnc_ui_tail.inc	100	* The main thread will return ownership only after a clean
main	working/b4a/ps2vnc_ui_tail.inc	530	* Normally the main thread consumes ROLLBACK and restores
main	working/b4a/ps2vnc_ui_tail.inc	535	* established OSDSYS path used by main().
main	working/b4a/ps2vnc_ui_tail.inc	1527	* Purely local keyboard changes need to wake the main
probe_extended_desktop_size	working/b4a/ps2vnc_calibration_core.inc	556	probe_extended_desktop_size(
probe_extended_desktop_size	working/b4a/ps2vnc_framebuffer_core.inc	970	int probe_extended_desktop_size(
probe_extended_desktop_size	working/b4a/ps2vnc_management_core.inc	183	probe_extended_desktop_size(
probe_extended_desktop_size	working/b4a/ps2vnc_management_core.inc	334	probe_extended_desktop_size(
probe_extended_desktop_size	working/b4a/ps2vnc_management_core.inc	541	probe_extended_desktop_size(
probe_extended_desktop_size	working/b4a/ps2vnc_services_imports.h	64	int probe_extended_desktop_size( int sock, unsigned short *rfb_framebuffer, unsigned short *gs_framebuffer);
ps2vnc_config_load_from_pi	working/b4a/ps2vnc_calibration_core.inc	1292	int ps2vnc_config_load_from_pi(void)
ps2vnc_config_load_from_pi	working/b4a/ps2vnc_display_tail.inc	1595	ps2vnc_config_load_from_pi();
ps2vnc_config_load_from_pi	working/b4a/ps2vnc_services_exports.h	19	int ps2vnc_config_load_from_pi(void);
ps2vnc_config_parse_display_section	working/b4a/ps2vnc_management_core.inc	985	static int ps2vnc_config_parse_display_section(
ps2vnc_config_parse_display_section	working/b4a/ps2vnc_management_core.inc	1368	result = ps2vnc_config_parse_display_section(
ps2vnc_config_parse_display_section	working/b4a/ps2vnc_management_core.inc	1384	return ps2vnc_config_parse_display_section(
ps2vnc_config_presented_geometry_for_mode	working/b4a/ps2vnc_calibration_core.inc	1030	int ps2vnc_config_presented_geometry_for_mode(
ps2vnc_config_presented_geometry_for_mode	working/b4a/ps2vnc_calibration_core.inc	1213	if (ps2vnc_config_presented_geometry_for_mode(
ps2vnc_config_presented_geometry_for_mode	working/b4a/ps2vnc_calibration_core.inc	1446	if (ps2vnc_config_presented_geometry_for_mode(
ps2vnc_config_presented_geometry_for_mode	working/b4a/ps2vnc_display_tail.inc	589	ps2vnc_config_presented_geometry_for_mode(
