function	manual_classification	m4h_a_action	reason
screen_fit_geometry_valid_for_mode	TRUE_PURE_GEOMETRY	PERMANENT_CORE	Explicit mode + geometry inputs; no mutable state or side effects
calculate_safe_desktop_geometry	GEOMETRY_WITH_IMPLICIT_STATE	TRANSITIONAL_ADAPTER	Core arithmetic belongs in geometry but current function reads screen-fit globals and output macros
calculate_presented_desktop_geometry	GEOMETRY_WITH_IMPLICIT_STATE	TRANSITIONAL_ADAPTER	Presentation arithmetic belongs in geometry but current function depends on safe wrapper and VNC/output globals
ps2vnc_config_presented_geometry_for_mode	CONFIG_ADAPTER_WITH_DUPLICATE_GEOMETRY	TRANSITIONAL_ADAPTER	Config owns parsing/storage; duplicated rectangle arithmetic moves to permanent geometry
screen_fit_clamp_interactive	CALIBRATION_POLICY	DEFER	Interactive calibration behavior is not foundational geometry ownership
screen_fit_apply_preset	MUTABLE_CALIBRATION_STATE	DEFER	Validates then mutates screen_fit globals and fallback state
ps2vnc_display_transaction_startup_preflight	DISPLAY_TRANSACTION	EXCLUDE	Transaction/startup policy
ps2vnc_config_parse_display_section	CONFIG_PARSER	EXCLUDE	Configuration parsing responsibility
ps2vnc_display_profile_valid	DISPLAY_PROFILE_MODEL	EXCLUDE	Management/profile validation broader than geometry arithmetic
ps2vnc_display_profile_resolve_candidate	DISPLAY_PROFILE_POLICY	EXCLUDE	Management profile resolution
ps2vnc_display_transaction_begin_to_pi	MANAGEMENT_TRANSACTION	EXCLUDE	Pi management protocol
ps2vnc_display_tx_parse_profile	MANAGEMENT_PARSER	EXCLUDE	Transaction protocol parser
ps2vnc_display_tx_profiles_equal	MANAGEMENT_COMPARISON	EXCLUDE	Transaction/profile comparison
display_confirm_disarm_transaction	UI_TRANSACTION_STATE	EXCLUDE	Confirmation UI/transaction state
